County,Age Range,Population
Adams,0-19,7270
Adams,20-29,2950
Adams,30-39,2937
Adams,40-49,3498
Adams,50-59,3819
Adams,60-69,3735
Adams,70-79,2229
Adams,80+,1039
Allen,0-19,26816
Allen,20-29,13434
Allen,30-39,11991
Allen,40-49,11856
Allen,50-59,12858
Allen,60-69,13025
Allen,70-79,7888
Allen,80+,4338
Ashland,0-19,13533
Ashland,20-29,6656
Ashland,30-39,5891
Ashland,40-49,5869
Ashland,50-59,6758
Ashland,60-69,6994
Ashland,70-79,4400
Ashland,80+,2346
Ashtabula,0-19,23777
Ashtabula,20-29,11068
Ashtabula,30-39,11020
Ashtabula,40-49,11547
Ashtabula,50-59,13816
Ashtabula,60-69,13735
Ashtabula,70-79,8411
Ashtabula,80+,4200
Athens,0-19,15495
Athens,20-29,14739
Athens,30-39,6986
Athens,40-49,6338
Athens,50-59,6723
Athens,60-69,6728
Athens,70-79,3733
Athens,80+,1689
Auglaize,0-19,12301
Auglaize,20-29,5329
Auglaize,30-39,5325
Auglaize,40-49,5399
Auglaize,50-59,6139
Auglaize,60-69,6199
Auglaize,70-79,3592
Auglaize,80+,2138
Belmont,0-19,14006
Belmont,20-29,7822
Belmont,30-39,8119
Belmont,40-49,7977
Belmont,50-59,9205
Belmont,60-69,10080
Belmont,70-79,5955
Belmont,80+,3333
Brown,0-19,10964
Brown,20-29,4843
Brown,30-39,4905
Brown,40-49,5539
Brown,50-59,6159
Brown,60-69,5888
Brown,70-79,3562
Brown,80+,1816
Butler,0-19,106136
Butler,20-29,56201
Butler,30-39,47448
Butler,40-49,46640
Butler,50-59,50465
Butler,60-69,44829
Butler,70-79,25852
Butler,80+,12786
Carroll,0-19,6177
Carroll,20-29,2737
Carroll,30-39,2707
Carroll,40-49,3216
Carroll,50-59,3893
Carroll,60-69,4101
Carroll,70-79,2619
Carroll,80+,1271
Champaign,0-19,9572
Champaign,20-29,4650
Champaign,30-39,4393
Champaign,40-49,4636
Champaign,50-59,5572
Champaign,60-69,5003
Champaign,70-79,3305
Champaign,80+,1583
Clark,0-19,34434
Clark,20-29,16232
Clark,30-39,15558
Clark,40-49,15533
Clark,50-59,18280
Clark,60-69,17968
Clark,70-79,11790
Clark,80+,6206
Clermont,0-19,51975
Clermont,20-29,24374
Clermont,30-39,26453
Clermont,40-49,25906
Clermont,50-59,29326
Clermont,60-69,27409
Clermont,70-79,15892
Clermont,80+,7266
Clinton,0-19,10804
Clinton,20-29,5216
Clinton,30-39,4920
Clinton,40-49,5049
Clinton,50-59,5641
Clinton,60-69,5521
Clinton,70-79,3295
Clinton,80+,1572
Columbiana,0-19,22853
Columbiana,20-29,11030
Columbiana,30-39,11776
Columbiana,40-49,12524
Columbiana,50-59,14292
Columbiana,60-69,15353
Columbiana,70-79,9267
Columbiana,80+,4782
Coshocton,0-19,9600
Coshocton,20-29,3978
Coshocton,30-39,4221
Coshocton,40-49,4143
Coshocton,50-59,4869
Coshocton,60-69,4976
Coshocton,70-79,3129
Coshocton,80+,1696
Crawford,0-19,10091
Crawford,20-29,4786
Crawford,30-39,4519
Crawford,40-49,5123
Crawford,50-59,5636
Crawford,60-69,5849
Crawford,70-79,3869
Crawford,80+,2152
Cuyahoga,0-19,292434
Cuyahoga,20-29,170647
Cuyahoga,30-39,166992
Cuyahoga,40-49,143755
Cuyahoga,50-59,167079
Cuyahoga,60-69,167454
Cuyahoga,70-79,98702
Cuyahoga,80+,57754
Darke,0-19,13563
Darke,20-29,5712
Darke,30-39,5597
Darke,40-49,6019
Darke,50-59,7092
Darke,60-69,6847
Darke,70-79,4557
Darke,80+,2494
Defiance,0-19,9815
Defiance,20-29,4497
Defiance,30-39,4567
Defiance,40-49,4605
Defiance,50-59,4772
Defiance,60-69,5176
Defiance,70-79,3187
Defiance,80+,1667
Delaware,0-19,60925
Delaware,20-29,20086
Delaware,30-39,27599
Delaware,40-49,33601
Delaware,50-59,29276
Delaware,60-69,22806
Delaware,70-79,13849
Delaware,80+,5982
Erie,0-19,16996
Erie,20-29,8628
Erie,30-39,8330
Erie,40-49,8367
Erie,50-59,10456
Erie,60-69,11382
Erie,70-79,7509
Erie,80+,3954
Fairfield,0-19,42014
Fairfield,20-29,18412
Fairfield,30-39,20298
Fairfield,40-49,20926
Fairfield,50-59,21917
Fairfield,60-69,18469
Fairfield,70-79,11522
