SiteID,Date,Lake,UV_Depth,DOC
Site1070,2022-05-31,Huron,5.41764705882353,1.83
Site569,2015-08-26,Huron,1.9348739495798322,2.3
Site570,2022-05-19,Huron,0.25,5.193333333333333
Site571,2022-08-10,Huron,1.8872950819672134,2.4966666666666666
Site572,2002-08-01,Huron,0.8342391304347827,3.1
Site573,2009-08-24,Huron,0.911881188118812,3.033333333333333
Site574,2009-08-24,Huron,1.4345794392523366,2.433333333333333
Site575,2022-08-25,Huron,0.6987860394537179,3.9899999999999998
Site576,2009-09-02,Huron,4.651515151515152,1.8
Site577,2003-09-08,Huron,6.578571428571429,1.8
Site578,2003-06-02,Huron,2.4625668449197864,1.5666666666666667
Site579,2015-05-27,Huron,5.548192771084338,1.5333333333333334
Site580,2003-09-03,Huron,9.029411764705882,1.3333333333333333
Site581,2003-06-09,Huron,2.2463414634146344,2.033333333333333
Site582,2015-09-01,Huron,4.8989361702127665,1.5333333333333334
Site583,2009-09-09,Huron,7.9396551724137945,1.2666666666666666
Site584,2015-06-02,Huron,9.593750000000002,1.3
Site585,2009-05-26,Huron,3.625984251968504,1.5666666666666667
Site586,2002-08-12,Huron,8.372727272727273,1.5333333333333334
Site587,2022-08-30,Huron,0.8705103969754254,3.2
Site599,2012-08-13,Ontario,2.860248447204969,2.066666666666667
Site600,2006-05-04,Ontario,0.6351724137931035,3.4
Site602,2006-08-17,Ontario,0.3215782122905028,6.566666666666666
Site605,2003-05-01,Ontario,4.5594059405940595,1.7666666666666666
Site606,2018-09-06,Ontario,3.386029411764706,2.1
Site608,2012-08-28,Ontario,2.677325581395349,1.6666666666666665
Site609,2006-04-27,Ontario,3.625984251968504,1.7
Site610,2006-08-16,Ontario,1.1286764705882353,3.3
Site611,2012-08-13,Ontario,3.684,2
Site612,2012-05-02,Ontario,3.9698275862068972,1.6666666666666667
Site613,2006-05-18,Ontario,2.5583333333333336,1.5
Site614,2006-04-28,Ontario,3.1758620689655177,1.7333333333333334
Site615,2006-05-16,Ontario,4.111607142857143,1.5
Site616,2018-08-30,Ontario,3.242957746478874,2.066666666666667
Site617,2006-04-28,Ontario,3.386029411764706,1.6666666666666667
Site625,2004-05-18,Erie,2.203349282296651,1.8666666666666667
Site626,2016-08-09,Erie,2.3025,1.8666666666666667
Site627,2019-05-14,Erie,2.2910447761194033,1.8666666666666667
Site628,2007-08-08,Erie,2.361538461538462,2.2666666666666666
Site629,2010-08-30,Erie,2.9331210191082806,2.1
Site630,2019-05-13,Erie,0.7217868338557994,2.066666666666667
Site631,2016-05-17,Erie,2.3025,2.033333333333333
Site632,2016-08-02,Erie,3.7439024390243905,2.1
Site633,2016-05-25,Erie,2.7248520710059174,2.066666666666667
Site634,2010-04-15,Erie,2.410994764397906,1.9666666666666666
Site635,2016-08-04,Erie,3.090604026845638,2.066666666666667
Site636,2011-05-15,Superior,4.004347826086957,1.4
Site641,2019-08-10,Superior,1.8273809523809526,2.8
Site642,2005-08-18,Superior,1.9348739495798322,1.6666666666666667
Site643,2019-08-07,Superior,2.373711340206186,2.3
Site644,2019-08-09,Superior,0.5250855188141392,5
Site645,2019-08-08,Superior,2.661849710982659,2.2666666666666666
Site646,2019-05-28,Superior,1.7779922779922783,1.5333333333333334
Site647,2019-05-28,Superior,3.9025423728813564,1.1666666666666667
Site648,2019-08-03,Superior,2.860248447204969,1.4333333333333333
Site649,2019-08-01,Superior,2.1824644549763037,1.5666666666666667
Site651,2019-05-26,Superior,0.7240566037735849,2.4
Site652,2019-08-04,Superior,3.684,1.3333333333333333
Site653,2019-05-31,Superior,0.5949612403100776,2.7333333333333334
Site654,2019-08-09,Superior,0.6693313953488372,4.333333333333333
Site655,2019-05-27,Superior,1.2791666666666668,1.6666666666666667
