Age,Sex,Grade,Height,Weight,Bullied_at_School
14 years old,Female,9th grade,1.65,81.65,No
16 years old,Male,11th grade,1.68,74.84,No
14 years old,Male,9th grade,1.85,56.7,No
16 years old,Male,9th grade,1.8,72.58,No
17 years old,Male,11th grade,1.83,74.84,No
15 years old,Female,9th grade,1.52,73.48,No
15 years old,Male,9th grade,1.65,61.24,No
17 years old,Female,11th grade,1.63,53.07,No
16 years old,Male,10th grade,1.7,63.5,No
15 years old,Female,9th grade,1.57,72.12,No
15 years old,Male,9th grade,1.68,65.77,No
18 years old or older,Female,11th grade,1.63,136.08,No
15 years old,Male,10th grade,1.75,73.94,No
14 years old,Female,9th grade,1.68,97.52,Yes
18 years old or older,Male,11th grade,1.93,68.04,No
16 years old,Female,11th grade,1.65,49.9,Yes
16 years old,Female,9th grade,1.52,52.16,Yes
16 years old,Male,10th grade,1.9,131.54,Yes
18 years old or older,Male,12th grade,1.73,95.26,Yes
16 years old,Female,11th grade,1.8,83.01,No
17 years old,Female,11th grade,1.63,59.88,No
16 years old,Female,10th grade,1.65,68.04,Yes
17 years old,Female,12th grade,1.6,47.17,Yes
17 years old,Female,11th grade,1.75,74.84,No
16 years old,Male,10th grade,1.83,83.92,No
18 years old or older,Female,12th grade,1.78,74.84,No
17 years old,Male,11th grade,1.75,63.5,No
16 years old,Female,11th grade,1.6,70.31,No
16 years old,Male,10th grade,1.78,79.38,No
18 years old or older,Male,12th grade,1.85,63.5,No
17 years old,Female,11th grade,1.65,62.6,No
15 years old,Male,10th grade,1.9,69.85,Yes
17 years old,Female,12th grade,1.63,53.07,No
18 years old or older,Male,11th grade,1.93,111.13,No
17 years old,Male,11th grade,1.8,122.47,No
17 years old,Male,10th grade,1.73,70.31,No
17 years old,Female,11th grade,1.63,57.15,No
14 years old,Male,9th grade,1.63,56.7,Yes
16 years old,Female,9th grade,1.45,44.45,No
16 years old,Female,11th grade,1.57,73.48,No
17 years old,Male,10th grade,1.7,79.38,No
17 years old,Male,11th grade,1.75,83.92,No
17 years old,Female,11th grade,1.57,54.89,No
16 years old,Female,9th grade,1.65,70.76,No
14 years old,Female,9th grade,1.52,49.9,No
17 years old,Female,11th grade,1.65,56.7,No
15 years old,Female,9th grade,1.63,53.52,Yes
15 years old,Male,9th grade,1.75,72.58,Yes
17 years old,Female,11th grade,1.65,99.79,No
18 years old or older,Male,12th grade,1.9,77.11,No
18 years old or older,Male,12th grade,1.83,80.74,Yes
18 years old or older,Male,11th grade,1.83,86.18,No
17 years old,Male,10th grade,1.8,122.47,No
15 years old,Male,9th grade,1.75,61.24,No
14 years old,Male,9th grade,1.75,65.77,No
14 years old,Male,9th grade,1.83,111.13,No
17 years old,Male,11th grade,1.78,70.31,No
15 years old,Male,10th grade,1.75,65.77,Yes
14 years old,Female,9th grade,1.55,40.82,Yes
14 years old,Female,9th grade,1.63,54.43,No
17 years old,Female,11th grade,1.65,61.24,No
16 years old,Male,10th grade,1.8,86.18,No
17 years old,Female,12th grade,1.65,113.4,No
17 years old,Female,11th grade,1.7,45.36,No
15 years old,Male,10th grade,1.73,61.24,No
17 years old,Female,11th grade,1.68,68.04,No
17 years old,Female,10th grade,1.65,83.92,No
18 years old or older,Female,11th grade,1.65,79.38,Yes
17 years old,Female,11th grade,1.7,54.43,No
17 years old,Female,11th grade,1.65,56.7,No
15 years old,Male,10th grade,1.88,90.72,No
16 years old,Female,11th grade,1.65,58.97,No
17 years old,Male,10th grade,1.83,74.39,Yes
16 years old,Female,9th grade,1.55,46.72,No
15 years old,Male,9th grade,1.75,58.51,Yes
15 years old,Male,9th grade,1.83,72.58,No
16 years old,Female,11th grade,1.6,44.45,No
15 years old,Female,10th grade,1.57,81.65,Yes
15 years old,Male,9th grade,1.83,89.81,Yes
14 years old,Male,9th grade,1.8,70.31,No
15 years old,Male,9th grade,1.73,61.69,No
15 years old,Female,10th grade,1.68,113.4,No
16 years old,Female,10th grade,1.63,74.84,No
14 years old,Male,9th grade,1.73,62.6,No
18 years old or older,Male,12th grade,1.68,71.67,Yes
16 years old,Male,10th grade,1.65,54.43,Yes
15 years old,Male,9th grade,1.6,67.59,No
16 years old,Female,11th grade,1.65,54.43,No
17 years old,Female,10th grade,1.57,63.5,No
17 years old,Male,11th grade,1.78,83.92,No
18 years old or older,Male,12th grade,1.73,70.31,No
16 years old,Female,10th grade,1.63,72.58,No
17 years old,Male,11th grade,1.78,66.68,No
16 years old,Male,11th grade,1.78,72.58,No
15 years old,Male,10th grade,1.85,78.02,No
17 years old,Male,11th grade,1.88,74.84,No
16 years old,Female,11th grade,1.55,50.8,No
17 years old,Female,11th grade,1.65,56.7,No
17 years old,Male,11th grade,1.73,79.38,No
16 years old,Male,11th grade,1.78,72.58,Yes
17 years old,Male,11th grade,1.83,79.38,No
16 years old,Female,11th grade,1.63,58.97,No
15 years old,Female,10th grade,1.6,53.07,No
15 years old,Female,9th grade,1.6,66.23,Yes
15 years old,Female,10th grade,1.68,62.14,Yes
17 years old,Male,11th grade,1.9,83.92,No
16 years old,Male,11th grade,1.85,89.81,No
16 years old,Male,10th grade,1.75,97.52,Yes
14 years old,Female,9th grade,1.5,54.43,No
15 years old,Female,9th grade,1.65,72.58,Yes
15 years old,Male,9th grade,1.78,54.89,Yes
17 years old,Female,10th grade,1.57,63.5,No
15 years old,Male,9th grade,1.85,77.11,No
15 years old,Female,9th grade,1.63,62.6,Yes
15 years old,Female,10th grade,1.63,68.04,No
16 years old,Female,9th grade,1.7,83.92,No
15 years old,Female,9th grade,1.65,88.91,Yes
17 years old,Female,10th grade,1.52,78.93,Yes
15 years old,Male,9th grade,1.78,49.9,No
15 years old,Female,9th grade,1.68,54.89,No
18 years old or older,Male,10th grade,1.88,90.72,No
18 years old or older,Male,11th grade,1.93,97.52,No
16 years old,Female,11th grade,1.57,71.22,Yes
15 years old,Female,10th grade,1.68,66.23,No
16 years old,Male,10th grade,1.85,64.86,No
17 years old,Male,11th grade,1.75,68.04,No
17 years old,Female,11th grade,1.55,68.04,No
17 years old,Male,10th grade,1.85,70.31,No
18 years old or older,Male,12th grade,1.9,77.11,No
17 years old,Female,11th grade,1.6,48.54,Yes
16 years old,Male,10th grade,1.88,83.92,No
17 years old,Male,12th grade,1.83,99.79,No
17 years old,Male,11th grade,1.85,104.33,No
16 years old,Male,10th grade,1.7,68.04,Yes
17 years old,Male,11th grade,1.93,68.04,Yes
17 years old,Male,11th grade,1.85,56.7,No
16 years old,Male,10th grade,1.73,60.33,No
17 years old,Male,12th grade,1.8,68.04,No
17 years old,Female,11th grade,1.65,54.43,No
17 years old,Male,11th grade,1.83,97.07,No
15 years old,Male,10th grade,1.8,68.04,No
17 years old,Female,11th grade,1.6,56.7,No
17 years old,Male,11th grade,1.93,111.13,No
17 years old,Male,11th grade,1.88,99.79,Yes
16 years old,Female,10th grade,1.5,40.82,No
16 years old,Male,11th grade,1.8,61.24,Yes
18 years old or older,Female,11th grade,1.68,97.98,No
17 years old,Female,11th grade,1.5,33.11,Yes
15 years old,Male,9th grade,1.78,75.3,Yes
17 years old,Male,11th grade,1.78,64.86,No
17 years old,Female,11th grade,1.57,86.18,No
15 years old,Female,10th grade,1.57,60.78,No
14 years old,Female,9th grade,1.65,82.56,Yes
15 years old,Female,9th grade,1.6,70.76,Yes
17 years old,Female,11th grade,1.7,131.54,Yes
17 years old,Male,11th grade,1.88,70.76,No
17 years old,Female,10th grade,1.7,127.01,No
14 years old,Male,9th grade,1.78,107.96,No
17 years old,Male,10th grade,1.73,63.5,No
15 years old,Male,9th grade,1.93,73.03,No
18 years old or older,Male,11th grade,1.83,75.3,No
15 years old,Female,10th grade,1.7,79.83,Yes
15 years old,Female,9th grade,1.6,104.33,Yes
17 years old,Female,11th grade,1.6,68.95,No
17 years old,Female,11th grade,1.5,66.23,No
17 years old,Male,11th grade,1.7,88.45,No
15 years old,Female,9th grade,1.68,53.52,No
17 years old,Male,11th grade,1.8,63.5,Yes
15 years old,Male,9th grade,1.83,88.91,No
17 years old,Male,11th grade,1.93,90.27,No
17 years old,Male,11th grade,1.78,77.11,No
16 years old,Female,10th grade,1.6,56.7,No
15 years old,Female,9th grade,1.5,50.35,No
17 years old,Female,11th grade,1.68,58.97,Yes
17 years old,Female,11th grade,1.45,54.43,No
16 years old,Female,10th grade,1.63,47.17,No
16 years old,Male,10th grade,1.68,64.41,Yes
16 years old,Male,11th grade,1.83,92.99,No
16 years old,Female,10th grade,1.5,52.62,No
15 years old,Female,9th grade,1.75,61.24,No
16 years old,Male,10th grade,1.85,172.37,Yes
17 years old,Male,11th grade,1.83,55.79,No
15 years old,Female,10th grade,1.6,70.76,No
14 years old,Female,9th grade,1.6,76.2,No
16 years old,Female,10th grade,1.68,68.04,No
15 years old,Female,9th grade,1.55,52.16,No
16 years old,Male,10th grade,1.68,97.52,No
14 years old,Female,9th grade,1.57,79.38,Yes
17 years old,Male,11th grade,1.73,84.37,No
16 years old,Female,10th grade,1.63,77.11,No
14 years old,Female,9th grade,1.73,50.8,No
16 years old,Male,11th grade,1.73,68.04,No
15 years old,Male,9th grade,1.75,111.13,No
16 years old,Male,10th grade,1.85,102.06,No
15 years old,Male,9th grade,1.73,59.88,No
16 years old,Male,11th grade,1.7,68.49,No
17 years old,Female,11th grade,1.6,86.18,No
15 years old,Female,9th grade,1.55,58.97,No
17 years old,Male,11th grade,1.75,56.7,No
17 years old,Female,11th grade,1.63,86.18,No
16 years old,Male,10th grade,1.85,86.64,No
15 years old,Female,9th grade,1.68,58.97,No
18 years old or older,Female,11th grade,1.65,117.94,No
16 years old,Male,11th grade,1.8,73.94,No
16 years old,Male,10th grade,1.75,77.11,No
15 years old,Male,9th grade,1.75,70.31,No
17 years old,Male,11th grade,1.85,102.97,No
16 years old,Male,11th grade,1.78,61.24,No
14 years old,Male,9th grade,1.73,63.5,No
