YEAR,AGES,SEX,POPULATION
1990,10 - 14,MALE,8817214
1990,10 - 14,FEMALE,8395673
1990,15 - 19,MALE,9116084
1990,15 - 19,FEMALE,8655509
1990,20 - 24,MALE,9754135
1990,20 - 24,FEMALE,9396251
1990,25 - 29,MALE,10682257
1990,25 - 29,FEMALE,10594790
1990,30 - 34,MALE,10922037
1990,30 - 34,FEMALE,11016736
1990,35 - 39,MALE,9908868
1990,35 - 39,FEMALE,10081427
1990,40 - 44,MALE,8779241
1990,40 - 44,FEMALE,9013701
1990,45 - 49,MALE,6781742
1990,45 - 49,FEMALE,7047274
1990,50 - 54,MALE,5526137
1990,50 - 54,FEMALE,5851625
1990,55 - 59,MALE,5006863
1990,55 - 59,FEMALE,5471296
1990,60 - 64,MALE,4950371
1990,60 - 64,FEMALE,5673111
1990,65 - 69,MALE,4514029
1990,65 - 69,FEMALE,5564894
1990,70 - 74,MALE,3423889
1990,70 - 74,FEMALE,4601174
1990,75 - 79,MALE,2410647
1990,75 - 79,FEMALE,3736349
1990,80 - 84,MALE,1365744
1990,80 - 84,FEMALE,2570953
1990,85 AND OVER,MALE,851036
1990,85 AND OVER,FEMALE,2208564
1990,UNDER 10,MALE,18903470
1990,UNDER 10,FEMALE,18029723
1991,10 - 14,MALE,9097039
1991,10 - 14,FEMALE,8658916
1991,15 - 19,MALE,8862971
1991,15 - 19,FEMALE,8407309
1991,20 - 24,MALE,9783081
1991,20 - 24,FEMALE,9451344
1991,25 - 29,MALE,10511932
1991,25 - 29,FEMALE,10411205
1991,30 - 34,MALE,11126960
1991,30 - 34,FEMALE,11173905
1991,35 - 39,MALE,10209233
1991,35 - 39,FEMALE,10368115
1991,40 - 44,MALE,9259021
1991,40 - 44,FEMALE,9493097
1991,45 - 49,MALE,6928072
1991,45 - 49,FEMALE,7201020
1991,50 - 54,MALE,5683326
1991,50 - 54,FEMALE,6007734
1991,55 - 59,MALE,4998678
1991,55 - 59,FEMALE,5444111
1991,60 - 64,MALE,4957914
1991,60 - 64,FEMALE,5645158
1991,65 - 69,MALE,4498582
1991,65 - 69,FEMALE,5539784
1991,70 - 74,MALE,3542095
1991,70 - 74,FEMALE,4713443
1991,75 - 79,MALE,2480448
1991,75 - 79,FEMALE,3801620
1991,80 - 84,MALE,1406426
1991,80 - 84,FEMALE,2640087
1991,85 AND OVER,MALE,883004
1991,85 AND OVER,FEMALE,2306135
1991,UNDER 10,MALE,19187453
1991,UNDER 10,FEMALE,18301723
1992,10 - 14,MALE,9348471
1992,10 - 14,FEMALE,8897292
1992,15 - 19,MALE,8857670
1992,15 - 19,FEMALE,8388570
1992,20 - 24,MALE,9771427
1992,20 - 24,FEMALE,9416575
1992,25 - 29,MALE,10311952
1992,25 - 29,FEMALE,10190665
1992,30 - 34,MALE,11246340
1992,30 - 34,FEMALE,11248013
1992,35 - 39,MALE,10525424
1992,35 - 39,FEMALE,10658975
1992,40 - 44,MALE,9277236
1992,40 - 44,FEMALE,9514699
1992,45 - 49,MALE,7568862
1992,45 - 49,FEMALE,7843836
