Dentist,Method,Alloy,Hardness
1,1,Gold Foil,792
1,2,Gold Foil,698
1,3,Gold Foil,620
2,1,Gold Foil,803
2,2,Gold Foil,782
2,3,Gold Foil,715
3,1,Gold Foil,627
3,2,Gold Foil,743
3,3,Gold Foil,681
4,1,Gold Foil,743
4,2,Gold Foil,882
4,3,Gold Foil,707
5,1,Gold Foil,698
5,2,Gold Foil,665
5,3,Gold Foil,483
1,1,Goldent,792
1,2,Goldent,835
1,3,Goldent,560
2,1,Goldent,907
2,2,Goldent,792
2,3,Goldent,734
3,1,Goldent,762
3,2,Goldent,847
3,3,Goldent,824
4,1,Goldent,792
4,2,Goldent,870
4,3,Goldent,813
5,1,Goldent,948
5,2,Goldent,933
5,3,Goldent,405
