State,Population,Year2017
Alabama,4874747,16.3
Alaska,739795,16.9
Arizona,7016270,19.1
Arkansas,3004279,11.5
California,39536653,10.2
Colorado,5607154,14.5
Connecticut,3588184,29.1
Delaware,961939,35.1
District of Columbia,693972,40.7
Florida,20984400,23
Georgia,10429379,13.3
Hawaii,1427538,10.9
Idaho,1716943,11.1
Illinois,12802023,19.7
Indiana,6666818,26.5
Iowa,3145711,9
Kansas,2913123,9.4
Kentucky,4454189,34.8
Louisiana,4684333,21.8
Maine,1335907,30.9
Maryland,6052177,10.1
Massachusetts,6859819,30.3
Michigan,9962311,22.7
Minnesota,5576606,11.4
Mississippi,2984100,10.6
Missouri,6113532,21
Montana,1050493,9
Nebraska,1920076,6.6
Nevada,2998039,17.6
New Hampshire,1342795,33.9
New Jersey,9005644,28.5
New Mexico,2088070,21.8
New York,19849399,17.4
North Carolina,10273419,21.9
North Dakota,755393,7.1
Ohio,11658609,44.1
Oklahoma,3930864,17.5
Oregon,4142776,9.6
Pennsylvania,12805537,41.4
Rhode Island,1059639,28.5
South Carolina,5024369,19
South Dakota,869666,6.4
Tennessee,6715984,24.4
Texas,28304596,9.1
Utah,3101833,16
Vermont,623657,20.1
Virginia,8470020,16
Washington,7405743,12.9
West Virginia,1815857,55
Wisconsin,5795483,18.9
Wyoming,579315,9.5
