SiteID,Date,Lake,UV_Depth,DOC
Site1070,2022-05-31,Huron,5.41764705882353,1.83
Site569,2003-08-27,Huron,1.8273809523809526,2.6333333333333333
Site570,2015-08-25,Huron,0.8480662983425415,3.466666666666667
Site571,2002-08-01,Huron,2.0558035714285716,2.2
Site572,2022-08-30,Huron,0.8705103969754254,3.25
Site573,2015-05-25,Huron,0.3737824675324676,4.233333333333333
Site574,2009-08-24,Huron,1.4345794392523366,2.433333333333333
Site575,2015-08-28,Huron,0.7415458937198068,3.433333333333333
Site576,2009-09-02,Huron,4.651515151515152,1.8
Site577,2002-08-08,Huron,7.675000000000001,1.5666666666666667
Site578,2009-09-10,Huron,5.482142857142858,1.8333333333333333
Site579,2015-05-27,Huron,5.548192771084338,1.5333333333333334
Site580,2003-06-06,Huron,7.9396551724137945,1.2333333333333334
Site581,2022-05-18,Huron,1.7988281250000002,2.1766666666666667
Site582,2009-05-27,Huron,2.516393442622951,1.9666666666666666
Site583,2003-06-02,Huron,1.8719512195121952,1.8666666666666667
Site584,2003-06-03,Huron,7.675000000000001,1.5999999999999999
Site585,2022-06-07,Huron,3.774590163934427,1.7933333333333334
Site586,2003-06-03,Huron,2.8425925925925926,1.8666666666666667
Site587,2022-08-30,Huron,0.8705103969754254,3.2
Site599,2012-08-13,Ontario,2.860248447204969,2.066666666666667
Site600,2006-08-10,Ontario,0.8179396092362345,3.7333333333333334
Site602,2012-05-08,Ontario,0.37167070217917675,5.4
Site605,2012-08-15,Ontario,2.970967741935484,1.9666666666666666
Site606,2018-09-06,Ontario,3.386029411764706,2.1
Site608,2018-08-27,Ontario,1.540133779264214,2.333333333333333
Site609,2006-08-11,Ontario,3.3613138686131387,2.2
Site610,2003-05-01,Ontario,0.742741935483871,3.5
Site611,2009-08-11,Ontario,1.9679487179487183,2.066666666666667
Site612,2018-09-05,Ontario,3.684,2.066666666666667
Site613,2006-08-17,Ontario,3.1541095890410964,2.2
Site614,2018-08-27,Ontario,2.4625668449197864,2.033333333333333
Site615,2009-08-06,Ontario,3.1541095890410964,2.1333333333333333
Site616,2009-08-06,Ontario,2.9902597402597406,1.9333333333333333
Site617,2006-08-14,Ontario,3.090604026845638,2.1666666666666665
Site625,2004-05-18,Erie,2.203349282296651,1.8666666666666667
Site626,2010-04-15,Erie,1.2379032258064517,2.666666666666667
Site627,2010-04-14,Erie,2.4365079365079367,2.566666666666667
Site628,2016-05-24,Erie,2.1027397260273974,2.2333333333333334
Site629,2014-05-13,Erie,2.2573529411764706,2.3
Site630,2004-08-27,Erie,2.661849710982659,2.1
Site631,2004-05-17,Erie,3.336956521739131,1.9333333333333333
Site632,2010-04-12,Erie,2.8962264150943398,1.7
Site633,2010-08-26,Erie,2.741071428571429,2.1333333333333333
Site634,2014-08-14,Erie,2.161971830985916,1.7666666666666666
Site635,2016-08-04,Erie,3.090604026845638,2.066666666666667
Site636,2019-08-10,Superior,3.411111111111111,2.466666666666667
Site641,2019-06-01,Superior,0.6802067946824225,2.433333333333333
Site642,2005-05-16,Superior,0.5482142857142858,2.566666666666667
Site643,2011-08-16,Superior,2.161971830985916,1.8
Site644,2011-08-15,Superior,0.5299194476409667,4.15
Site645,2019-08-08,Superior,2.661849710982659,2.2666666666666666
Site646,2005-08-16,Superior,1.3270893371757926,1.7
Site647,2005-08-15,Superior,4.148648648648648,1.4666666666666666
Site648,2011-05-09,Superior,2.0931818181818183,1.5
Site649,2011-05-08,Superior,2.423684210526316,1.5
Site651,2011-05-09,Superior,2.172169811320755,1.3
Site652,2011-08-13,Superior,4.303738317757009,1.4
Site653,2011-08-16,Superior,1.0188053097345136,2.2
Site654,2019-08-09,Superior,0.6693313953488372,4.333333333333333
Site655,2011-08-14,Superior,3.242957746478874,1.5
