Date,Creek,NDVI,Upstream,Downstream
2019-12-08,FM,0.111236,1.3,1.28
2019-12-15,FM,0.028377,2.13,2.12
2020-01-06,FM,0.209929,6.43,7.46
2020-01-13,FM,0.107216,5.73,6.06
2020-01-31,FM,0.096332,5.48,6.14
2020-02-16,FM,0.137137,6.38,6.61
2020-03-01,FM,0.239922,5.85,6.11
2020-03-08,FM,0.223743,5.44,5.67
2020-05-22,FM,0.251498,8.76,8.64
2020-06-01,FM,0.335308,6.5,6.46
2020-06-08,FM,0.70096,4.24,4.28
2020-06-15,FM,0.417203,3.28,3.25
2020-07-13,FM,0.529508,0.29,0.229
2020-07-20,FM,0.440367,0.113,0.0929
2020-07-28,FM,0.544547,0.202,0.148
2020-08-04,FM,0.658589,0.266,0.276
2020-11-03,FM,0.292753,0.08,0.067
2020-11-17,FM,0.261644,0.0196,0.0191
2020-12-02,FM,0.222256,4.41,4.38
2020-12-14,FM,0.132872,2.86,2.72
2021-01-12,FM,0.027581779,5.02,5.07
2021-01-27,FM,0.087058571,3.22,3.23
2021-02-24,FM,0.018462129,4.77,5.06
2021-03-10,FM,0.224543225232368,4.72,4.73
2021-03-24,FM,0.106063136572412,5.07,4.99
2021-04-07,FM,0.301966803912907,3.79,3.75
2021-04-21,FM,0.161058091,3.22,3.21
2021-04-29,FM,0.203529811,1.9,1.85
2021-05-05,FM,0.129908222,7.8,7.88
2021-05-10,FM,0.403688299,7.55,7.95
2021-06-01,FM,0.064319506,2.52,2.5
2021-06-09,FM,0.332977597,7.13,7.2
2021-06-15,FM,0.523900314,6.84,6.83
2021-06-29,FM,0.406977642271946,5.48,5.46
2021-07-13,FM,0.075123146,3.26,3.26
2021-07-27,FM,0.554443755,2.92,2.93
2021-08-10,FM,0.784282968337856,0.385,0.354
2021-08-25,FM,0.59530635707692,0.104,0.0767
2021-09-05,FM,0.425076681,0.152,0.124
2021-10-31,FM,0.210875342,4.37,4.41
2021-11-14,FM,0.123725219,1.23,1.26
2021-11-28,FM,0.433926956,2.71,2.71
2021-12-13,FM,0.218017472,7.04,6.77
2019-12-15,LFM,0.057769,0.601,0.537
2020-01-06,LFM,0.221737,8.85,8.81
2020-01-13,LFM,0.112246,7.9,7.82
2020-01-31,LFM,0.10082,8,7.94
2020-02-16,LFM,0.165266,8.86,9.15
2020-03-01,LFM,0.252493,8.41,8.36
2020-03-08,LFM,0.225972,7.96,7.96
2020-05-22,LFM,0.330279,11.6,11.5
2020-06-01,LFM,0.438208,9.57,9.52
2020-06-08,LFM,0.663441,6.05,6
2020-06-15,LFM,0.430129,5,4.94
2020-07-13,LFM,0.544454,0.264,0.234
2020-07-20,LFM,0.425946,0.0882,0.209
2020-07-28,LFM,0.388359,0.422,0.349
2020-08-04,LFM,0.688781,0.399,0.364
2020-08-18,LFM,0.688781,0.107,0.146
2020-11-03,LFM,0.316859,0.214,0.143
2020-11-17,LFM,0.363522,0.0295,0.0322
2020-12-02,LFM,0.227274,4.17,4.09
2020-12-14,LFM,0.175261,2.53,2.53
2021-01-12,LFM,0.057842247,5.79,5.78
2021-01-27,LFM,0.072661073,4.08,4.02
2021-02-24,LFM,0.043289063,5.72,5.42
2021-03-10,LFM,0.242691336033702,6.19,6.16
2021-03-24,LFM,0.109428825913391,6.94,6.87
2021-04-07,LFM,0.293902311,5.4,5.34
2021-04-21,LFM,0.202835249,4.57,4.53
2021-04-29,LFM,0.202893516,2.7,2.89
2021-05-05,LFM,0.210937185,9.56,9.16
2021-05-10,LFM,0.488317137,9.49,9.16
2021-06-01,LFM,0.066835844,3.56,3.41
2021-06-09,LFM,0.34999129,9.02,9.13
2021-06-15,LFM,0.544904009,9.4,9.31
2021-06-29,LFM,0.4748671,7.09,7.04
2021-07-13,LFM,0.090357806,3.15,3.05
2021-07-17,LFM,0.46081236,5.71,5.68
2021-07-27,LFM,0.561577713,3.63,3.45
2021-08-10,LFM,0.804008674176982,0.411,0.298
2021-09-05,LFM,0.494933823,0.131,0.15
2021-10-31,LFM,0.323919456,0.296,0.212
2021-11-14,LFM,0.123523981,0.51,0.494
2021-11-28,LFM,0.401512755,1.04,0.874
2021-12-13,LFM,0.207935088,8.92,8.89
2019-12-08,MB,0.127318,0.683,0.476
2019-12-15,MB,0.055269,1.18,0.97
2020-01-06,MB,0.231086,4.21,3.92
2020-01-13,MB,0.116595,3.59,3.4
2020-01-31,MB,0.103707,3.79,3.49
2020-02-16,MB,0.163454,3.96,3.56
2020-03-01,MB,0.261598,3.92,3.55
2020-03-08,MB,0.252951,3.12,2.81
2020-05-22,MB,0.385802,7.81,6.94
2020-06-01,MB,0.533798,4.49,3.94
2020-06-08,MB,0.661432,3.14,2.21
2020-06-15,MB,0.446831,2.14,1.36
2020-07-13,MB,0.733762,0.948,0.11
2020-07-28,MB,0.594303,0.383,0.25
2020-08-04,MB,0.696616,0.425,0.617
2020-11-03,MB,0.055269,0.625,0.388
2020-11-17,MB,0.360678,0.0536,0.0283
2020-12-02,MB,0.239567,2.97,2.75
2020-12-14,MB,0.126562,1.96,1.59
2021-01-12,MB,0.055281533,3.16,2.87
2021-01-27,MB,0.090801171,2.41,2.18
2021-02-24,MB,0.0427960988570323,2.7,3.08
2021-03-10,MB,0.267840377,2.92,2.57
2021-03-24,MB,0.121333706171255,2.65,2.33
2021-04-07,MB,0.299419635,1.84,1.38
2021-04-21,MB,0.303456964,1.63,1.27
2021-04-29,MB,0.220900889,1.73,1.13
2021-05-05,MB,0.233389383,4.02,3.7
2021-05-10,MB,0.385446715,4.88,4.62
2021-06-01,MB,0.066922118,1.6,1.05
2021-06-09,MB,0.268910467,6.42,5.75
2021-06-15,MB,0.47554835,5.03,4.17
2021-06-29,MB,0.454565117,3.85,2.75
2021-07-13,MB,0.157738328,1.39,1.07
2021-07-17,MB,0.486118866,1.61,1.71
2021-07-27,MB,0.552522242,2.05,1.39
2021-10-31,MB,0.329397118,1.2,1.01
2021-11-14,MB,0.160806044,0.0197,0.0404
2021-11-28,MB,0.467157891,1.05,0.749
2021-12-13,MB,0.215144736,3.35,3.13
2019-12-08,DE,0.129311,0.895,0.599
2020-01-06,DE,0.228889,5.26,4.78
2020-01-13,DE,0.113897,5.51,5.26
2020-01-31,DE,0.103079,5.04,4.73
2020-02-16,DE,0.164862,5.64,5.31
2020-03-01,DE,0.258577,5.22,4.79
2020-03-08,DE,0.25003,4.93,4.42
2020-05-22,DE,0.358754,7.04,6.55
2020-06-01,DE,0.521072,6.28,5.66
2020-06-08,DE,0.756542,6.26,5.47
2020-06-15,DE,0.446302,5.04,4.66
2020-07-13,DE,0.661544,1.7,1.19
2020-07-20,DE,0.540846,0.61,0.456
2020-07-28,DE,0.552306,1.68,1.17
2020-08-04,DE,0.689746,2.39,1.97
2020-11-03,DE,0.323451,1.41,1.18
2020-11-17,DE,0.374267,0.124,0.0552
2020-12-02,DE,0.23791,4.23,3.95
2020-12-14,DE,0.140333,3.08,2.75
2021-01-12,DE,0.0576482774680112,4.28,3.93
2021-01-27,DE,0.090952303,3.64,3.37
2021-02-24,DE,0.04077217,4.68,4.5
2021-03-10,DE,0.252630569161092,3.86,3.51
2021-03-24,DE,0.126673202551104,3.96,3.61
2021-04-07,DE,0.291397099936254,2.94,2.49
2021-04-21,DE,0.285546566,2.97,2.51
2021-04-29,DE,0.198906855,2.8,1.72
2021-05-05,DE,0.212992264,6.67,5.74
2021-06-01,DE,0.078118167,3.56,2.98
2021-06-09,DE,0.157187991,6.22,5.51
2021-06-15,DE,0.363770445,6.12,5.51
2021-06-29,DE,0.445856878,5.28,4.83
2021-07-13,DE,0.138990117,3.33,2.82
2021-07-17,DE,0.496173117,5.4,5
2021-07-27,DE,0.58070975,3.9,3.18
2021-10-31,DE,0.210875342,3.24,2.95
