State,Rate
Alabama,16.8
Alaska,7.2
Arizona,10.2
Arkansas,14.7
California,10.5
Colorado,4.8
Connecticut,8.3
Delaware,8.6
Florida,8.8
Georgia,11.3
Hawaii,9.8
Idaho,7.8
Illinois,11
Indiana,9.2
Iowa,8.7
Kansas,11.1
Kentucky,13.8
Louisiana,12.2
Maine,10.6
Maryland,8.7
Massachusetts,9.1
Michigan,10.4
Minnesota,5.7
Mississippi,20
Missouri,11.5
Montana,7.5
Nebraska,10.1
Nevada,12.8
New Hampshire,6.5
New Jersey,9.9
New Mexico,11.5
New York,14.4
North Carolina,12.4
North Dakota,13.1
Ohio,11.4
Oklahoma,12.3
Oregon,4.4
Pennsylvania,10.3
Rhode Island,7.4
South Carolina,9.4
South Dakota,11.4
Tennessee,14.9
Texas,10.5
Utah,8.1
Vermont,4.5
Virginia,9.7
Washington,5.9
West Virginia,16.5
Wisconsin,7.5
Wyoming,11.9
