State,March_21,March_22
Nevada,9.2,5
California,8.4,4.9
New York,7.9,4.6
New Jersey,6.9,4.2
Rhode Island,6,3.4
Arizona,5.8,3.3
Hawaii,6.6,4.1
Colorado,6.1,3.7
Connecticut,7,4.6
Oregon,6.1,3.8
Florida,5.4,3.2
Mississippi,6.4,4.2
Pennsylvania,7.1,4.9
Massachusetts,6.4,4.3
Alaska,7,5
Illinois,6.7,4.7
Indiana,4.2,2.2
Oklahoma,4.7,2.7
Texas,6.4,4.4
Louisiana,6.1,4.2
New Mexico,7.2,5.3
West Virginia,5.6,3.7
Michigan,6.2,4.4
North Carolina,5.2,3.5
Tennessee,4.9,3.2
Ohio,5.7,4.1
Washington,5.8,4.2
Wyoming,5,3.4
Arkansas,4.6,3.1
Virginia,4.5,3
Wisconsin,4.3,2.8
New Hampshire,3.9,2.5
North Dakota,4.3,2.9
Delaware,5.8,4.5
Georgia,4.4,3.1
Montana,3.6,2.3
Idaho,3.9,2.7
Maine,4.8,3.6
Minnesota,3.7,2.5
Missouri,4.8,3.6
Iowa,4.4,3.3
Maryland,5.7,4.6
Vermont,3.8,2.7
Kansas,3.5,2.5
Utah,3,2
South Carolina,4.3,3.4
Alabama,3.7,2.9
Kentucky,4.7,4
South Dakota,3.2,2.5
District of Columbia,6.6,6
Nebraska,2.6,2
