Name,Graduation_Rate,Average_Cost,Student_Faculty_Ratio,Private_College,State
Lourdes University,43,36344,13,1,OH
Mercy College of Ohio,33,28776,7,1,OH
University of Northwestern Ohio,45,21850,23,1,OH
Ohio Northern University,71,47185.333333,11,1,OH
The University of Findlay,63,44834,14,1,OH
Tiffin University,41,39916.666667,15,1,OH
Heidelberg University,52,40739.333333,14,1,OH
Wright State University-Lake Campus,31,18749.333333,16,0,OH
Wittenberg University,63,51896,11,1,OH
Ohio State University-Marion Campus,7,19835,18,0,OH
Central State University,28,17012.666667,19,0,OH
Cedarville University,74,41635.333333,15,1,OH
Miami University-Hamilton,15,19070,15,0,OH
Wilmington College,52,35850,14,1,OH
Mount Saint Joseph University,55,41206.666667,11,1,OH
Ohio University-Chillicothe Campus,21,14431,19,0,OH
Ohio Christian University,46,31996,8,1,OH
Columbus College of Art and Design,61,49980,10,1,OH
Capital University,60,51849.333333,12,1,OH
Ohio Dominican University,54,43583.666667,15,1,OH
Ohio University-Lancaster Campus,23,14431,19,0,OH
Otterbein University,66,45139.333333,11,1,OH
Muskingum University,56,42080.666667,13,1,OH
Ohio University-Zanesville Campus,30,14431,17,0,OH
Marietta College,53,45202,8,1,OH
University of Rio Grande,19,41393,16,1,OH
Ohio University-Southern Campus,30,14431,17,0,OH
Shawnee State University,42,18805.333333,14,0,OH
Denison University,80,68246.666667,9,1,OH
Ohio State University-Newark Campus,4,21033.666667,29,0,OH
Mount Vernon Nazarene University,62,41940,14,1,OH
Kenyon College,89,71480,9,1,OH
Ashland University,62,32702.666667,16,1,OH
The College of Wooster,74,61383.333333,11,1,OH
Oberlin College,86,71562.666667,9,1,OH
Baldwin Wallace University,70,50540.666667,11,1,OH
Ursuline College,36,45657.333333,8,1,OH
John Carroll University,75,57529.333333,13,1,OH
Notre Dame College,43,42073.333333,13,1,OH
Kent State University at Geauga,4,16352,26,0,OH
Hiram College,50,35061,11,1,OH
Kent State University at Ashtabula,12,16352,22,0,OH
Kent State University at Trumbull,17,16352,29,0,OH
University of Mount Union,66,40508.333333,12,1,OH
Kent State University at Salem,10,16352,21,0,OH
Kent State University at Stark,22,16352,22,0,OH
Walsh University,60,42117.666667,15,1,OH
Malone University,54,43016,13,1,OH
Kent State University at Tuscarawas,13,16352,22,0,OH
Kent State University at East Liverpool,10,16352,27,0,OH
Franciscan University of Steubenville,77,38206.666667,15,1,OH
Ohio University-Eastern Campus,30,14431,16,0,OH
Saint Mary-of-the-Woods College,52,41732.666667,8,1,IN
Rose-Hulman Institute of Technology,83,66434,10,1,IN
Oakland City University,47,36370.333333,12,1,IN
University of Evansville,67,51002.666667,10,1,IN
Indiana University-Southeast,36,17544.333333,13,0,IN
Hanover College,72,50550,12,1,IN
Indiana University-East,45,15482,14,0,IN
DePauw University,87,63639.333333,8,1,IN
Marian University,60,47326,13,1,IN
Indiana University-Kokomo,43,15482,16,0,IN
Indiana Wesleyan University-Marion,71,38215.333333,13,1,IN
Taylor University,78,46499.666667,13,1,IN
Anderson University,64,41913.333333,8,1,IN
Huntington University,65,37213.333333,12,1,IN
Manchester University,55,44245,15,1,IN
University of Saint Francis-Fort Wayne,50,42900,12,1,IN
Trine University-Regional/Non-Traditional Campuses,40,18126,7,1,IN
Indiana Institute of Technology-College of Professional Studies,10,19594,15,1,IN
Indiana Institute of Technology,38,39216.666667,12,1,IN
Grace College and Theological Seminary,30,36708,21,1,IN
Trine University,61,44250,17,1,IN
Saint Mary's College,81,56260,9,1,IN
Bethel University,63,40765.333333,11,1,IN
Indiana University-South Bend,38,17069.666667,12,0,IN
Valparaiso University,65,53279.333333,11,1,IN
Indiana University-Northwest,32,16741,14,0,IN
Andrews University,61,41271.333333,10,1,MI
Hillsdale College,88,40622,9,1,MI
Albion College,68,60695,12,1,MI
Hope College,76,44383.333333,11,1,MI
Spring Arbor University,64,40022.666667,12,1,MI
Adrian College,53,51880,14,1,MI
Siena Heights University,53,37926,12,1,MI
Concordia University-Ann Arbor,42,44696.666667,10,1,MI
Jackson College,17,20996.666667,15,0,MI
University of Detroit Mercy,73,43035.333333,11,1,MI
College for Creative Studies,55,57595.666667,10,1,MI
Lawrence Technological University,58,50042.666667,11,1,MI
Madonna University,57,36216.666667,13,1,MI
Rochester University,42,32552.666667,12,1,MI
Olivet College,49,41092,15,1,MI
Kalamazoo College,79,66268,13,1,MI
Grace Christian University,33,22583.333333,14,1,MI
Calvin University,75,49272.666667,12,1,MI
Aquinas College,64,43736.666667,11,1,MI
Cornerstone University,66,36260,15,1,MI
Alma College,71,52362.666667,13,1,MI
Kettering University,67,55280,13,1,MI
Northwood University,58,41924,9,1,MI
Northwestern Michigan College,58,18071.666667,14,0,MI
Lake Superior State University,50,22034.666667,17,0,MI
