Name,Graduation_Rate,Average_Cost,Student_Faculty_Ratio,Private_College
Lourdes University,43,36344,13,1
Mercy College of Ohio,33,28776,7,1
University of Northwestern Ohio,45,21850,23,1
Ohio Northern University,71,47185.333333,11,1
The University of Findlay,63,44834,14,1
Tiffin University,41,39916.666667,15,1
Heidelberg University,52,40739.333333,14,1
Wright State University-Lake Campus,31,18749.333333,16,0
Wittenberg University,63,51896,11,1
Ohio State University-Marion Campus,7,19835,18,0
Central State University,28,17012.666667,19,0
Cedarville University,74,41635.333333,15,1
Miami University-Hamilton,15,19070,15,0
Wilmington College,52,35850,14,1
Mount Saint Joseph University,55,41206.666667,11,1
Ohio University-Chillicothe Campus,21,14431,19,0
Ohio Christian University,46,31996,8,1
Columbus College of Art and Design,61,49980,10,1
Capital University,60,51849.333333,12,1
Ohio Dominican University,54,43583.666667,15,1
Ohio University-Lancaster Campus,23,14431,19,0
Otterbein University,66,45139.333333,11,1
Muskingum University,56,42080.666667,13,1
Ohio University-Zanesville Campus,30,14431,17,0
Marietta College,53,45202,8,1
University of Rio Grande,19,41393,16,1
Ohio University-Southern Campus,30,14431,17,0
Shawnee State University,42,18805.333333,14,0
Denison University,80,68246.666667,9,1
Ohio State University-Newark Campus,4,21033.666667,29,0
Mount Vernon Nazarene University,62,41940,14,1
Kenyon College,89,71480,9,1
Ashland University,62,32702.666667,16,1
The College of Wooster,74,61383.333333,11,1
Oberlin College,86,71562.666667,9,1
Baldwin Wallace University,70,50540.666667,11,1
Ursuline College,36,45657.333333,8,1
John Carroll University,75,57529.333333,13,1
Notre Dame College,43,42073.333333,13,1
Kent State University at Geauga,4,16352,26,0
Hiram College,50,35061,11,1
Kent State University at Ashtabula,12,16352,22,0
Kent State University at Trumbull,17,16352,29,0
University of Mount Union,66,40508.333333,12,1
Kent State University at Salem,10,16352,21,0
Kent State University at Stark,22,16352,22,0
Walsh University,60,42117.666667,15,1
Malone University,54,43016,13,1
Kent State University at Tuscarawas,13,16352,22,0
Kent State University at East Liverpool,10,16352,27,0
Franciscan University of Steubenville,77,38206.666667,15,1
Ohio University-Eastern Campus,30,14431,16,0
