Rk,G,Date,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2013-04-20,WC1,GSW,@,DEN,1,L (-2),1,42:56,7,20,0.35,4,10,0.4,1,1,1,0,4,4,9,2,0,5,2,19,11.5,8
2,2,2013-04-23,WC1,GSW,@,DEN,2,W (+14),1,41:38,13,23,0.565,4,10,0.4,0,0,,0,5,5,13,3,0,1,4,30,30.1,15
3,3,2013-04-26,WC1,GSW,,DEN,3,W (+2),1,37:50,8,17,0.471,4,7,0.571,9,9,1,0,6,6,11,2,0,3,4,29,27.2,13
4,4,2013-04-28,WC1,GSW,,DEN,4,W (+14),1,33:06,10,16,0.625,6,11,0.545,5,5,1,0,3,3,7,4,0,2,4,31,30,21
5,5,2013-04-30,WC1,GSW,@,DEN,5,L (-7),1,41:52,7,19,0.368,1,6,0.167,0,0,,1,3,4,8,0,1,2,5,15,8.4,-3
6,6,2013-05-02,WC1,GSW,,DEN,6,W (+4),1,41:56,6,14,0.429,4,8,0.5,6,6,1,1,3,4,8,2,0,7,3,22,15.6,-2
7,7,2013-05-06,WCS,GSW,@,SAS,1,L (-2),1,57:56,18,35,0.514,6,14,0.429,2,2,1,0,4,4,11,2,0,6,3,44,30.4,-2
8,8,2013-05-08,WCS,GSW,@,SAS,2,W (+9),1,43:01,7,20,0.35,2,6,0.333,6,9,0.667,0,4,4,4,1,0,2,2,22,11.8,16
9,9,2013-05-10,WCS,GSW,,SAS,3,L (-10),1,42:28,5,17,0.294,3,9,0.333,3,3,1,0,2,2,8,2,0,3,3,16,10.1,1
10,10,2013-05-12,WCS,GSW,,SAS,4,W (+10),1,38:36,7,15,0.467,5,10,0.5,3,3,1,2,4,6,4,0,0,2,2,22,16.9,23
11,11,2013-05-14,WCS,GSW,@,SAS,5,L (-18),1,34:45,4,14,0.286,1,7,0.143,0,0,,0,0,0,8,1,0,4,1,9,3,-21
12,12,2013-05-16,WCS,GSW,,SAS,6,L (-12),1,40:26,10,25,0.4,2,8,0.25,0,0,,1,3,4,6,1,1,3,2,22,12.2,-19
13,1,2014-04-19,WC1,GSW,@,LAC,1,W (+4),1,44:39,6,16,0.375,2,6,0.333,0,0,,1,2,3,7,3,0,7,1,14,7,5
14,2,2014-04-21,WC1,GSW,@,LAC,2,L (-40),1,31:00,9,17,0.529,1,7,0.143,5,5,1,0,1,1,8,2,0,2,4,24,20,-27
15,3,2014-04-24,WC1,GSW,,LAC,3,L (-2),1,43:25,5,12,0.417,3,8,0.375,3,4,0.75,0,2,2,15,1,0,3,3,16,17.1,-1
16,4,2014-04-27,WC1,GSW,,LAC,4,W (+21),1,42:23,10,20,0.5,7,14,0.5,6,7,0.857,1,6,7,7,1,1,2,3,33,28.5,25
17,5,2014-04-29,WC1,GSW,@,LAC,5,L (-10),1,43:42,5,10,0.5,4,7,0.571,3,3,1,0,3,3,4,2,0,8,2,17,8.9,-3
18,6,2014-05-01,WC1,GSW,,LAC,6,W (+1),1,45:29,9,24,0.375,2,8,0.25,4,7,0.571,1,3,4,9,0,0,2,1,24,15.1,4
19,7,2014-05-03,WC1,GSW,@,LAC,7,L (-5),1,45:50,7,17,0.412,3,7,0.429,16,16,1,1,4,5,9,3,0,2,4,33,31.5,2
20,1,2015-04-18,WC1,GSW,,NOP,1,W (+7),1,40:06,13,25,0.52,4,13,0.308,4,7,0.571,0,4,4,5,3,0,3,4,34,23.6,20
